Blog	four	looking	here	reports	music	until	want	how	series	wasn	service	listen	project	tech	came	saying	best	country	much	life	things	had	easy	possible	right	old	son	support	happy	time	team	sign	alone	along	love	working	allowed	such	data	years	course	didn	internet	million	quite	vote	open	future	say	take	pages	ways	going	jobs	many	wants	former	technology	being	around	world	power	her	hey	gone	certain	am	tv	th	paying	large	small	past	full	hours	social	via	company	learn	lives	states	information	its	always	found	police	really	try	major	number	self	also	play	plan	cover	set	seo	available	let	community	rules	recent	makes	couple	d	line	posted	us	points	ago	having	code	results	race	challenge	video	great	involved	tools	illegal	next	baby	process	high	doing	could	start	system	haven	face	should	hope	email	site	vs	off	less	web	government	five	does	three	details	rule	worth	above	employees	word	work	interview	after	law	order	office	then	safe	network	another	do	com	board	night	security	asking	marketing	post	months	way	dead	test	together	guy	change	extra	market	live	heard	write	remember	still	half	year	space	shows	cars	than	online	only	between	notice	article	comes	these	worry	media	real	read	early	using	benefit	business	aren	low	lot	trying	month	very	learned	ask	history	help	actually	event	since	reason	put	latest	pretty	during	x	won	probably	both	else	look	while	ready	used	game	popular	run	step	become	similar	uber	doesn	e	go	facebook	click	win	started	meet	links	including	hands	university	special	completely	florida	times	quality	privacy	need	able	based	she	state	problem	well	page	twitter	home	freedom	stories	piece	star	friends	companies	even	ever	never	met	type	tell	rights	give	quot	president	before	personal	better	weeks	went	side	content	reader	isn	features	matter	seen	seem	don	m	bad	said	against	appeared	seven	human	yes	track	super	magazine	down	form	drive	digital	weekend	daily	finally	me	did	boy	making	may	man	talk	nbsp	group	interesting	texas	earlier	where	thing	think	fast	little	anyone	eyes	were	show	enough	morning	behind	reading	across	according	those	different	pay	same	money	again	important	u	starting	children	public	airport	published	two	share	needs	coming	already	through	late	good	everyone	house	hard	idea	done	least	part	believe	build	most	services	particularly	find	blogging	point	create	understand	bill	fun	ceo	big	bit	google	often	either	use	immigration	access	others	private	f	ll	day	february	announced	south	national	taking	general	almost	thought	add	although	buy	under	every	school	street	would	phone	must	keep	end	writing	each	got	free	wanted	days	top	too	took	though	watch	report	however	news	players	quickly	several	donald	everything	head	hear	check	cool	says	goes	continue	trump	huge	happened	name	turn	place	given	white	r	any	later	federal	review	outside	come	case	myself	someone	week	without	seems	blog	legal	there	follow	thursday	program	woman	far	list	design	version	court	goal	rather	short	might	health	friday	feel	story	store	kind	nothing	his	him	recently	political	questions	question	long	called	problems	once	issues	deals	apple	few	women	something	six	instead	light	looks	related	our	york	conversation	which	who	why	local	words	job	april	perhaps	gets	whole	book	know	because	getting	own	made	whether	below	happen	allow	percent	other
Matt Cutts: Gadgets, Google, and SEO	0	0	1	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	1	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	4	0	1	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	3	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
Gothamist	1	2	10	2	3	0	1	4	0	0	2	0	0	0	1	0	3	2	7	0	1	3	0	1	5	5	0	2	1	4	0	4	0	1	1	1	1	0	0	0	3	0	0	2	0	0	0	0	0	5	0	0	1	0	0	1	0	0	3	0	2	0	8	0	1	0	0	2	6	0	0	0	0	0	0	0	0	0	1	1	0	0	7	1	4	2	4	0	0	1	0	6	3	0	0	1	0	0	3	2	1	1	2	1	4	1	0	5	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	5	0	0	0	1	1	0	1	0	0	0	0	0	2	0	7	0	1	2	1	2	0	1	3	0	3	7	2	0	0	0	1	3	2	0	0	0	0	4	2	2	0	0	0	5	0	5	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	1	3	2	0	1	0	1	1	0	5	1	1	0	0	2	1	0	1	2	0	2	1	1	0	0	1	1	0	1	0	2	0	2	1	4	0	0	0	2	4	0	0	1	2	0	0	2	0	0	1	1	0	8	1	0	1	0	4	3	0	4	0	1	1	0	2	0	0	2	0	0	4	2	0	6	1	0	1	1	3	1	0	0	1	0	1	0	2	8	2	2	1	5	0	0	1	1	1	0	1	4	0	0	0	8	0	2	0	2	0	2	3	4	2	10	1	0	0	5	0	0	0	0	0	1	3	3	3	1	1	0	0	2	5	1	0	1	2	0	0	0	0	0	0	3	2	0	5	0	2	1	0	2	4	6	1	5	0	0	1	1	0	0	1	5	0	1	1	0	1	0	0	2	0	0	1	0	0	0	0	2	0	0	2	2	3	1	6	2	1	1	0	1	0	0	0	0	0	0	2	2	1	4	2	0	0	1	2	0	0	2	0	0	0	4	2	1	3	0	1	1	2	2	0	0	2	0	0	0	4	0	5	1	0	16	2	1	1	2	1	0	1	1	0	0	2	0	0	1	0	0	0	8	1	0	0	0	4	4	1	1	5	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	7	6	1	1	0	0	2	0	0	1	1	0	0	0	1	1	0	1	0	0	2	1	6	0	5	13	1	0	0	0	0	0	0	1	0	5	5	2	2	2	1	2	1	1	3	1
Techdirt.	1	8	15	5	0	2	5	25	1	3	15	1	0	1	4	6	5	7	17	1	9	18	0	2	11	6	1	7	2	15	5	1	3	1	1	1	4	16	28	12	9	10	16	1	6	5	7	1	6	14	4	4	6	1	12	7	2	5	26	9	13	10	13	3	2	3	0	13	0	1	4	2	8	0	1	13	6	17	1	1	7	21	56	4	11	8	4	2	4	7	3	35	2	11	3	5	0	1	5	7	8	6	9	0	7	2	2	11	5	3	4	4	5	0	4	1	4	3	1	4	6	0	13	2	6	19	1	15	0	1	22	0	27	8	1	8	5	5	51	2	14	3	2	2	3	3	0	2	10	1	9	48	7	7	7	5	9	10	26	1	3	1	26	3	2	7	3	17	3	1	0	4	6	3	5	9	2	1	3	13	4	12	3	3	2	19	15	29	4	12	16	4	34	0	13	2	1	3	11	3	6	5	1	9	5	2	7	1	6	3	8	18	0	4	9	7	8	2	3	0	6	3	3	2	3	16	0	12	1	1	3	1	2	4	0	13	4	1	1	0	2	1	1	0	8	5	0	2	4	2	7	1	17	6	6	5	5	29	7	14	3	4	4	4	3	1	0	2	12	28	5	18	0	2	2	13	6	0	10	10	5	8	0	3	3	16	2	9	2	3	4	2	11	11	11	19	14	1	0	2	3	4	2	0	12	4	3	2	0	2	3	5	11	0	9	19	3	1	0	5	1	0	0	12	10	6	1	4	4	1	23	5	8	0	3	1	3	4	19	4	6	11	5	3	5	13	1	3	21	0	0	11	8	4	4	13	16	3	11	8	10	1	4	3	9	7	2	2	14	14	3	6	0	6	6	4	21	3	0	3	5	22	7	4	18	2	12	5	9	3	6	2	2	3	0	5	5	5	3	3	3	2	3	23	7	0	2	65	3	3	6	7	0	8	7	14	6	4	3	5	1	5	1	7	8	3	0	4	8	2	2	4	0	2	1	4	3	3	7	0	2	6	6	6	9	2	2	32	1	19	4	4	6	18	0	7	3	22	7	3	14	32	6	1	4	0	5	1	1	0	59	4	9	1	12	0	1	1	27	3	8	7	52	18	3	4	4	2	10	6	8	4	5	11	6	4	2	10	3	3	0	5	2	24	4	0	39	31	11	8	5	1	3	9	5	3	0	4	35	2	10	15	7	2	2	10	2	31
Joho the Blog	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	1	0	0	1	0	0	0	0	1	1	2	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	11	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	4	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
ongoing by Tim Bray	1	1	3	0	0	0	2	1	0	0	0	0	0	4	2	0	3	0	0	1	1	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	2	0	5	2	1	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	1	1	1	1	2	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	2	0	0	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	6	0	1	0	1	1	1	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	1	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	1	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	4	0	0	1	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	5	1	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
Neil Gaiman's Journal	9	3	38	0	3	5	11	25	8	8	0	5	1	0	7	3	6	1	28	7	51	42	2	2	12	18	5	4	8	35	2	2	2	3	16	6	2	7	0	20	0	9	6	1	2	8	1	0	2	14	4	1	26	0	17	0	2	1	7	5	17	3	11	0	5	2	17	7	21	2	2	6	1	3	8	3	5	1	3	2	0	1	5	5	8	0	20	3	1	0	1	10	3	1	23	8	0	6	6	0	0	1	3	12	24	3	25	28	0	27	8	0	1	0	0	7	0	3	0	0	11	25	2	4	27	16	3	0	5	0	13	13	3	0	0	13	5	1	0	1	5	11	2	1	2	3	0	6	19	7	10	1	4	1	22	2	0	8	32	26	2	13	0	4	0	7	14	13	3	0	4	1	5	0	1	2	2	17	4	17	4	52	2	4	0	13	6	20	4	0	2	7	13	3	3	3	19	6	4	0	0	1	1	10	6	5	22	1	4	0	7	10	15	5	1	16	2	8	4	0	4	7	5	4	6	11	6	3	0	0	2	3	2	0	0	3	9	21	4	2	1	6	3	3	3	2	3	2	2	2	3	0	0	12	2	2	9	1	0	14	6	6	3	2	20	4	0	6	0	22	10	10	4	3	6	1	10	0	0	19	3	6	4	21	3	0	1	8	2	2	5	4	10	74	7	19	1	1	3	0	7	2	0	2	3	0	2	0	1	0	3	64	20	4	6	13	5	3	319	0	3	3	3	15	21	8	2	12	6	3	28	6	4	6	3	14	2	1	6	8	8	5	16	3	1	0	1	4	10	3	9	21	5	0	13	2	10	5	28	8	5	6	7	12	0	7	3	1	7	0	4	13	1	2	1	2	0	4	0	7	19	0	3	0	4	0	0	2	2	0	27	16	11	3	1	0	3	2	9	13	1	5	4	2	3	1	1	29	2	4	2	8	27	10	23	6	10	22	1	21	9	7	8	2	2	3	0	0	4	0	7	8	6	1	2	2	9	1	0	7	1	2	2	4	2	4	2	11	6	0	7	0	9	5	6	8	9	3	6	11	2	55	0	2	4	0	2	5	4	3	0	2	2	8	3	0	3	5	12	3	13	2	43	34	1	0	7	0	14	5	0	4	0	0	1	16	0	21	3	6	3	7	0	10	7	4	42	46	5	1	6	1	2	2	5	6	75	6	26	10	7	18	2	2	2	1	0	22
Joel on Software	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0
The Full Feed from HuffingtonPost.com	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	6	1	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	1	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	2	1	0	1	1
Kotaku	1	0	1	0	0	0	5	1	0	1	0	0	0	0	0	0	7	0	2	3	0	3	0	0	1	0	0	0	0	3	1	0	0	1	2	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0	2	0	1	1	0	2	0	5	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	1	0	5	0	2	0	2	0	0	0	0	0	2	0	0	2	3	0	0	0	0	5	0	0	0	0	2	0	1	0	2	0	1	0	0	4	0	0	0	0	2	1	0	0	0	0	1	0	0	0	25	1	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	1	4	0	0	0	1	2	2	0	0	1	0	0	8	0	2	0	0	0	0	0	0	3	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	4	0	1	2	1	2	2	0	1	2	0	1	0	0	0	0	2	1	2	0	2	1	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	3	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	0	1	1	0	2	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	2	0	0	2	0	1	0	2	1	0	0	1	0	0	0	1	0	0	0	1	0	0	2	1	0	0	1	1	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	3	0	0	0	1	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	2	0	1	2	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	1	0	1	0	3	0	2	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	1	2	0	1	0	0	1	0	0	3	1	1	0	0	0	0	0	0	0	1	0	1	2	1	3	0	0	2	0	1	0	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	2	4	1	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	1
Scobleizer	0	2	11	0	2	0	0	5	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	1	0	0	4	1	0	0	0	3	0	1	0	0	0	0	2	6	1	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2	0	0	0	0	0	0	0	1	1	0	0	0	6	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	4	0	0	1	0	0	4	0	2	0	0	1	2	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2	1	2	3	1	0	0	2	0	1	1	3	1	0	0	2	0	0	0	0	0	2	2	0	0	2	0	0	3	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	5	0	2	3	5	0	0	1	0	0	3	0	0	0	1	1	0	1	0	0	0	3	0	3	0	0	0	0	0	2	4	1	0	0	0	0	1	0	0	0	0	0	5	2	0	1	0	1	0	0	1	0	1	0	2	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	2	0	0	3	2	0	0	0	0	0	0	3	0	0	0	14	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	2	1	0	13	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	3	3	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	1	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	5	0	4	0	0	0	0	2	0	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	3	2	3	7	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	4
Derek Powazek	0	1	6	0	0	0	1	7	0	1	0	0	0	1	1	0	1	0	1	5	1	3	2	1	4	2	0	0	4	4	0	0	0	1	1	0	2	0	0	5	1	1	1	0	0	3	1	0	3	1	0	1	4	0	1	0	0	0	0	1	3	0	9	3	2	0	3	0	0	2	0	2	0	1	0	0	0	1	0	1	0	0	1	4	1	0	2	1	0	1	1	2	0	0	0	0	0	1	1	3	0	0	0	4	2	0	1	4	0	2	0	0	0	0	0	0	5	0	0	0	1	2	1	1	1	1	0	0	0	1	1	2	0	2	0	1	1	1	0	0	0	4	0	0	0	0	0	3	3	0	4	0	0	0	7	0	1	3	7	1	0	2	0	0	1	3	2	0	2	0	1	1	1	0	0	2	0	3	0	4	0	4	0	0	0	2	2	1	4	0	0	1	2	0	2	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	4	0	2	0	0	1	0	0	1	1	0	7	0	0	2	1	1	0	0	1	0	0	2	0	1	1	3	1	0	0	1	0	0	0	1	0	0	2	3	0	1	0	0	1	0	1	0	4	12	3	3	1	0	0	0	1	0	0	12	2	0	0	1	0	0	0	15	4	3	0	0	1	3	0	0	0	0	0	0	4	4	1	7	0	1	2	3	5	2	0	4	0	0	1	0	0	3	3	2	0	0	0	0	0	0	3	9	1	0	1	1	1	0	1	1	0	3	0	1	0	2	0	0	2	0	1	1	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	4	2	0	1	0	0	1	0	1	1	0	0	1	1	3	0	1	0	0	1	0	0	2	1	1	0	0	4	2	2	3	0	1	0	0	1	0	0	0	0	2	0	0	0	2	0	2	4	0	0	0	0	0	0	0	1	0	0	1	0	0	1	3	0	0	0	3	0	0	1	0	7	1	0	0	2	0	0	1	0	0	0	0	1	1	0	2	5	3	0	1	0	3	2	0	0	1	0	1	0	0	2	2	0	0	5	0	8	2	0	0	0	0	3	0	0	2	1	1	0	0	1	0	0	2	0	6	6	3	2	2	2	0	0	0	0	0	3
